year,household_class,profit,discounted_profit,scenario,variant
7,MFIR,39034.5,22033.957622684167,fert_shock,no_policy
7,MMR,39034.5,22033.957622684167,fert_shock,no_policy
7,MMIR,45223.5,25527.486775786994,fert_shock,no_policy
7,MFR,34290.0,19355.81106154402,fert_shock,no_policy
8,HFR,26345.5,13519.407203847077,fert_shock,no_policy
8,HMR,31217.75,16019.641845396636,fert_shock,no_policy
8,MFIR,39034.5,20030.87056607651,fert_shock,no_policy
8,MMR,39034.5,20030.87056607651,fert_shock,no_policy
8,MMIR,45223.5,23206.806159806354,fert_shock,no_policy
8,MFR,34290.0,17596.191874130924,fert_shock,no_policy
9,HFR,26345.5,12290.370185315523,fert_shock,no_policy
9,HMR,31217.75,14563.310768542395,fert_shock,no_policy
9,MFIR,39034.5,18209.882332796828,fert_shock,no_policy
9,MMR,39034.5,18209.882332796828,fert_shock,no_policy
9,MMIR,45223.5,21097.096508914863,fert_shock,no_policy
9,MFR,34290.0,15996.538067391748,fert_shock,no_policy
10,HFR,26345.5,11173.063804832293,fert_shock,no_policy
10,HMR,31217.75,13239.37342594763,fert_shock,no_policy
10,MFIR,39034.5,16554.438484360748,fert_shock,no_policy
10,MMR,39034.5,16554.438484360748,fert_shock,no_policy
10,MMIR,45223.5,19179.178644468055,fert_shock,no_policy
10,MFR,34290.0,14542.307333992496,fert_shock,no_policy
1,HFR,27065.5,27065.5,fert_shock,policy_fert_subsidy
1,HMR,32117.75,32117.75,fert_shock,policy_fert_subsidy
1,MFIR,40114.5,40114.5,fert_shock,policy_fert_subsidy
1,MMR,40114.5,40114.5,fert_shock,policy_fert_subsidy
1,MMIR,46573.5,46573.5,fert_shock,policy_fert_subsidy
1,MFR,35190.0,35190.0,fert_shock,policy_fert_subsidy
2,HFR,27065.5,24605.0,fert_shock,policy_fert_subsidy
2,HMR,32117.75,29197.954545454544,fert_shock,policy_fert_subsidy
2,MFIR,40114.5,36467.72727272727,fert_shock,policy_fert_subsidy
2,MMR,40114.5,36467.72727272727,fert_shock,policy_fert_subsidy
2,MMIR,46573.5,42339.545454545456,fert_shock,policy_fert_subsidy
2,MFR,35190.0,31990.90909090909,fert_shock,policy_fert_subsidy
3,HFR,27065.5,22368.181818181816,fert_shock,policy_fert_subsidy
3,HMR,32117.75,26543.59504132231,fert_shock,policy_fert_subsidy
3,MFIR,40114.5,33152.479338842975,fert_shock,policy_fert_subsidy
3,MMR,40114.5,33152.479338842975,fert_shock,policy_fert_subsidy
3,MMIR,46573.5,38490.49586776859,fert_shock,policy_fert_subsidy
3,MFR,35190.0,29082.64462809917,fert_shock,policy_fert_subsidy
4,HFR,27065.5,20334.710743801646,fert_shock,policy_fert_subsidy
4,HMR,32117.75,24130.54094665664,fert_shock,policy_fert_subsidy
4,MFIR,40114.5,30138.61758076633,fert_shock,policy_fert_subsidy
4,MMR,40114.5,30138.61758076633,fert_shock,policy_fert_subsidy
4,MMIR,46573.5,34991.35987978962,fert_shock,policy_fert_subsidy
4,MFR,35190.0,26438.767843726513,fert_shock,policy_fert_subsidy
5,HFR,27065.5,18486.100676183316,fert_shock,policy_fert_subsidy
5,HMR,32117.75,21936.855406051494,fert_shock,policy_fert_subsidy
5,MFIR,40114.5,27398.74325524212,fert_shock,policy_fert_subsidy
5,MMR,40114.5,27398.74325524212,fert_shock,policy_fert_subsidy
5,MMIR,46573.5,31810.327163445112,fert_shock,policy_fert_subsidy
5,MFR,35190.0,24035.243494296832,fert_shock,policy_fert_subsidy
6,HFR,27065.5,16805.546069257558,fert_shock,policy_fert_subsidy
6,HMR,32117.75,19942.595823683172,fert_shock,policy_fert_subsidy
6,MFIR,40114.5,24907.94841385647,fert_shock,policy_fert_subsidy
6,MMR,40114.5,24907.94841385647,fert_shock,policy_fert_subsidy
6,MMIR,46573.5,28918.47923949555,fert_shock,policy_fert_subsidy
6,MFR,35190.0,21850.22135845166,fert_shock,policy_fert_subsidy
7,HFR,27065.5,15277.769153870508,fert_shock,policy_fert_subsidy
7,HMR,32117.75,18129.632566984703,fert_shock,policy_fert_subsidy
7,MFIR,40114.5,22643.589467142247,fert_shock,policy_fert_subsidy
7,MMR,40114.5,22643.589467142247,fert_shock,policy_fert_subsidy
7,MMIR,46573.5,26289.526581359594,fert_shock,policy_fert_subsidy
7,MFR,35190.0,19863.83759859242,fert_shock,policy_fert_subsidy
8,HFR,27065.5,13888.881048973186,fert_shock,policy_fert_subsidy
8,HMR,32117.75,16481.48415180427,fert_shock,policy_fert_subsidy
8,MFIR,40114.5,20585.081333765673,fert_shock,policy_fert_subsidy
8,MMR,40114.5,20585.081333765673,fert_shock,policy_fert_subsidy
8,MMIR,46573.5,23899.569619417805,fert_shock,policy_fert_subsidy
8,MFR,35190.0,18058.03418053856,fert_shock,policy_fert_subsidy
