year,household_class,rev_crops,rev_livestock,rev_off_farm,cost_crop_inputs,cost_livestock,cost_hired_labor,profit,discount_factor,discounted_profit
3,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.8264462809917354,126815.1515151515
3,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.8264462809917354,126815.1515151515
3,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.8264462809917354,137397.31077003802
3,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.8264462809917354,118424.89833398923
4,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.7513148009015775,84329.01625463605
4,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.7513148009015775,92068.38753532966
4,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.7513148009015775,115286.50137741044
4,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.7513148009015775,115286.50137741044
4,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.7513148009015775,124906.64615458001
4,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.7513148009015775,107658.99848544474
5,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.6830134553650705,76662.74204966915
5,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.6830134553650705,83698.53412302697
5,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.6830134553650705,104805.9103431004
5,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.6830134553650705,104805.9103431004
5,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.6830134553650705,113551.49650416365
5,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.6830134553650705,97871.81680494976
6,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.6209213230591549,69693.40186333557
6,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.6209213230591549,76089.57647547906
6,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.6209213230591549,95278.10031190945
6,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.6209213230591549,95278.10031190945
